"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"1","EPL",0.157303370786517,0.25,0.533333333333333,9,0.432203389830508,0.36986301369863,0.516666666666667,0.642201834862385,0.244897959183673,"H",0,0,0
"2","EPL",0.168539325842697,0.55,0.666666666666667,3.5,0.559322033898305,0.520547945205479,0.45,0.779816513761468,0.244897959183673,"A",1.3,4.5,8
"3","EPL",0.0786516853932584,0.15,0.4,1.5,0.457627118644068,0.438356164383562,0.316666666666667,0.697247706422018,0.489795918367347,"D",1.83,3.25,4
"4","EPL",0.0674157303370786,0.05,0.133333333333333,20,0.474576271186441,0.36986301369863,0.45,0.660550458715596,0.0408163265306122,"D",1.16,6.5,15
"5","EPL",0.168539325842697,0.3,0.666666666666667,0.454545454545455,0.338983050847458,0.342465753424658,0.5,0.422018348623853,0.244897959183673,"H",0,0,0
"6","EPL",0.0898876404494382,0.1,0.133333333333333,1.54545454545455,0.5,0.424657534246575,0.65,0.422018348623853,0.346938775510204,"A",2.1,3.25,3
"7","EPL",0.258426966292135,0.25,0.666666666666667,0.142857142857143,0.398305084745763,0.356164383561644,0.6,0.55045871559633,0.326530612244898,"A",4.5,3.4,1.72
"8","EPL",0.0898876404494382,0.35,0.466666666666667,1.07142857142857,0.457627118644068,0.342465753424658,0.5,0.587155963302752,0.244897959183673,"A",1.83,3.25,4.5
"9","EPL",0.157303370786517,0.35,0.266666666666667,0.833333333333333,0.508474576271186,0.383561643835616,0.433333333333333,0.596330275229358,0.285714285714286,"H",0,0,0
"10","EPL",0.112359550561798,0.15,0.266666666666667,2.66666666666667,0.406779661016949,0.36986301369863,0.45,0.577981651376147,0.510204081632653,"H",1.4,3.75,7.5
"11","EPL",0.269662921348315,0.4,0.733333333333333,0.0555555555555556,0.449152542372881,0.424657534246575,0.333333333333333,0.660550458715596,0.387755102040816,"A",5.5,3.6,1.57
"12","EPL",0.179775280898876,0.5,0.6,0.277777777777778,0.491525423728814,0.383561643835616,0.433333333333333,0.623853211009174,0.387755102040816,"D",5,3.1,1.8
"13","EPL",0.112359550561798,0.3,0.333333333333333,2.5,0.330508474576271,0.273972602739726,0.433333333333333,0.614678899082569,0.571428571428571,"H",0,0,0
"14","EPL",0.213483146067416,0.4,0.6,3,0.415254237288136,0.287671232876712,0.4,0.477064220183486,0.163265306122449,"H",1.533,3.5,5.5
"15","EPL",0.134831460674157,0.15,0.2,3.33333333333333,0.457627118644068,0.397260273972603,0.466666666666667,0.81651376146789,0.448979591836735,"H",1.25,5,10
"16","EPL",0.168539325842697,0.3,0.333333333333333,0.636363636363636,0.669491525423729,0.616438356164384,0.45,0.495412844036697,0.326530612244898,"A",2.6,3.2,2.62
"17","EPL",0.0561797752808989,0.2,0.0666666666666667,6.66666666666667,0.406779661016949,0.342465753424658,0.433333333333333,0.73394495412844,0.469387755102041,"H",0,0,0
"18","EPL",0.112359550561798,0.15,0.266666666666667,3.25,0.559322033898305,0.410958904109589,0.733333333333333,0.55045871559633,0.469387755102041,"D",1.3,4.5,8
"19","EPL",0.101123595505618,0.3,0.533333333333333,0.789473684210526,0.423728813559322,0.356164383561644,0.333333333333333,0.44954128440367,0.285714285714286,"H",1.72,3.4,4.5
"20","EPL",0.157303370786517,0.3,0.4,2.66666666666667,0.5,0.410958904109589,0.5,0.761467889908257,0.36734693877551,"D",2.1,3.2,3.5
"21","EPL",0.112359550561798,0.25,0.466666666666667,8,0.516949152542373,0.424657534246575,0.533333333333333,0.559633027522936,0.285714285714286,"H",0,0,0
"22","EPL",0.146067415730337,0.1,0.266666666666667,1.8,0.355932203389831,0.246575342465753,0.416666666666667,0.605504587155963,0.408163265306122,"D",2.2,3.25,2.8
"23","EPL",0.112359550561798,0.15,0.4,1.625,0.457627118644068,0.301369863013699,0.616666666666667,0.614678899082569,0.285714285714286,"D",1.57,3.6,5.5
"24","EPL",0.146067415730337,0.1,0.266666666666667,0.625,0.415254237288136,0.301369863013699,0.3,0.55045871559633,0.204081632653061,"H",2.5,3.2,2.75
"25","EPL",0.123595505617978,0.3,0.266666666666667,1.07692307692308,0.23728813559322,0.246575342465753,0.3,0.559633027522936,0.408163265306122,"H",0,0,0
"26","EPL",0.112359550561798,0.1,0.266666666666667,1.4,0.423728813559322,0.342465753424658,0.333333333333333,0.532110091743119,0.244897959183673,"H",1.533,3.5,5.5
"27","EPL",0.168539325842697,0.4,0.333333333333333,1.4,0.525423728813559,0.547945205479452,0.533333333333333,0.477064220183486,0.510204081632653,"A",2.2,3.4,2.87
"28","EPL",0.191011235955056,0.3,0.733333333333333,0.333333333333333,0.550847457627119,0.479452054794521,0.433333333333333,0.651376146788991,0.163265306122449,"H",5.5,3.4,1.66
"29","EPL",0.179775280898876,0.2,0.4,0.222222222222222,0.533898305084746,0.452054794520548,0.516666666666667,0.568807339449541,0.163265306122449,"H",0,0,0
"30","EPL",0.168539325842697,0.1,0.333333333333333,0.666666666666667,0.398305084745763,0.301369863013699,0.433333333333333,0.642201834862385,0.428571428571429,"H",2.375,3.2,2.625
"31","EPL",0.0898876404494382,0.2,0.2,1.54545454545455,0.61864406779661,0.547945205479452,0.55,0.605504587155963,0.408163265306122,"A",1.72,3.4,4.5
"32","EPL",0.258426966292135,0.3,0.666666666666667,0.117647058823529,0.644067796610169,0.561643835616438,0.85,0.577981651376147,0.204081632653061,"A",7.5,4,1.44
"33","EPL",0.157303370786517,0.45,0.466666666666667,0.421052631578947,0.576271186440678,0.397260273972603,0.466666666666667,0.577981651376147,0.204081632653061,"D",0,0,0
"34","EPL",0.157303370786517,0.4,0.6,0.642857142857143,0.508474576271186,0.465753424657534,0.533333333333333,0.697247706422018,0.469387755102041,"A",2,3.25,3.25
"35","EPL",0.157303370786517,0.4,0.4,2.5,0.694915254237288,0.547945205479452,0.533333333333333,0.477064220183486,0.204081632653061,"A",2.7,3.25,2.37
