"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"2",2,"SPD",0.268041237113402,0.192307692307692,0.4,1.23076923076923,0.583333333333333,0.372881355932203,0.705882352941177,0.716312056737589,0.5,"H",1.83,3.3,3.75
"3",3,"SPD",0.505154639175258,0.346153846153846,0.666666666666667,0.5,0.608333333333333,0.508474576271186,0.529411764705882,0.539007092198582,0.348484848484849,"H",2.6,3.1,2.7
"7",7,"SPD",0.278350515463918,0.153846153846154,0.6,1.4,0.566666666666667,0.423728813559322,0.392156862745098,0.666666666666667,0.515151515151515,"A",2.1,3.2,3.5
"21",21,"SPD",0.474226804123711,0.269230769230769,0.666666666666667,0.214285714285714,0.391666666666667,0.305084745762712,0.450980392156863,0.624113475177305,0.5,"D",3.2,3.1,2.25
"22",22,"SPD",0.371134020618557,0.346153846153846,0.666666666666667,0.9,0.441666666666667,0.322033898305085,0.529411764705882,0.645390070921986,0.439393939393939,"D",2.2,3.2,3.25
"28",28,"SPD",0.381443298969072,0.307692307692308,0.533333333333333,3,0.458333333333333,0.406779661016949,0.450980392156863,0.659574468085106,0.242424242424242,"A",1.53,3.6,6.5
"46",46,"SPD",0.268041237113402,0.115384615384615,0.266666666666667,2.25,0.458333333333333,0.288135593220339,0.392156862745098,0.716312056737589,0.409090909090909,"H",2,3.25,3.75
"59",59,"SPD",0.556701030927835,0.384615384615385,0.733333333333333,0.285714285714286,0.666666666666667,0.627118644067797,0.470588235294118,0.730496453900709,0.560606060606061,"H",3.8,3.3,1.95
"64",64,"SPD",0.391752577319588,0.269230769230769,0.4,1.2,0.508333333333333,0.406779661016949,0.313725490196078,0.581560283687943,0.409090909090909,"H",2.2,3.2,3.25
"66",66,"SPD",0.463917525773196,0.269230769230769,0.533333333333333,0.5,0.558333333333333,0.491525423728814,0.411764705882353,0.638297872340426,0.242424242424242,"D",2.25,3.2,3.1
"71",71,"SPD",0.34020618556701,0.192307692307692,0.2,1.5,0.558333333333333,0.423728813559322,0.549019607843137,0.801418439716312,0.409090909090909,"D",2.25,3.1,3.2
"81",81,"SPD",0.505154639175258,0.384615384615385,0.533333333333333,1.75,0.541666666666667,0.491525423728814,0.588235294117647,0.609929078014184,0.212121212121212,"H",1.53,3.8,6
"84",84,"SPD",0.402061855670103,0.230769230769231,0.666666666666667,0.764705882352941,0.45,0.305084745762712,0.313725490196078,0.631205673758865,0.363636363636364,"A",1.95,3.25,3.8
"96",96,"SPD",0.381443298969072,0.115384615384615,0.2,1.07692307692308,0.508333333333333,0.322033898305085,0.764705882352941,0.602836879432624,0.484848484848485,"H",2,3.3,3.6
"98",98,"SPD",0.329896907216495,0.346153846153846,0.4,2.28571428571429,0.525,0.474576271186441,0.372549019607843,0.801418439716312,0.424242424242424,"D",2.05,3.25,3.5
"121",121,"SPD",0.309278350515464,0.0769230769230769,0.2,0.947368421052632,0.541666666666667,0.406779661016949,0.627450980392157,0.702127659574468,0.424242424242424,"H",2,3.3,3.6
"124",124,"SPD",0.536082474226804,0.384615384615385,0.666666666666667,8,0.475,0.423728813559322,0.411764705882353,0.609929078014184,0.424242424242424,"H",1.22,5.5,13
"130",130,"SPD",0.34020618556701,0.307692307692308,0.6,1.28571428571429,0.466666666666667,0.355932203389831,0.333333333333333,0.687943262411348,0.424242424242424,"H",3.2,3.25,2.2
"144",144,"SPD",0.103092783505155,0.153846153846154,0.266666666666667,2,0.433333333333333,0.23728813559322,0.411764705882353,0.695035460992908,0.409090909090909,"H",2,3,3.5
"149",149,"SPD",0.752577319587629,0.461538461538462,0.733333333333333,0.05,0.725,0.525423728813559,0.725490196078431,0.553191489361702,0.348484848484849,"A",13,7,1.16
"153",153,"SPD",0.381443298969072,0.115384615384615,0.133333333333333,1.7,0.441666666666667,0.305084745762712,0.627450980392157,0.780141843971631,0.636363636363636,"A",3.4,3.5,2
"164",164,"SPD",0.103092783505155,0.269230769230769,0.666666666666667,0.625,0.4,0.288135593220339,0.450980392156863,0.709219858156028,0.348484848484849,"D",2,3.4,3.75
"177",177,"SPD",0.0824742268041237,0.192307692307692,0.533333333333333,0.55,0.658333333333333,0.508474576271186,0.549019607843137,0.680851063829787,0.515151515151515,"H",2,3.3,3.8
"178",178,"SPD",0.0927835051546392,0.192307692307692,0.4,0.666666666666667,0.725,0.508474576271186,0.490196078431373,0.439716312056738,0.363636363636364,"H",2.5,3.25,2.8
"180",180,"SPD",0.0412371134020619,0.0384615384615385,0.2,0.894736842105263,0.4,0.271186440677966,0.490196078431373,0.49645390070922,0.424242424242424,"H",2.62,3.25,2.62
"182",182,"SPD",0.0721649484536082,0.153846153846154,0.133333333333333,1.42857142857143,0.575,0.220338983050847,0.450980392156863,0.702127659574468,0.212121212121212,"A",2.2,3.25,3.2
"184",184,"SPD",0.11340206185567,0.153846153846154,0.466666666666667,6,0.425,0.355932203389831,0.431372549019608,0.624113475177305,0.257575757575758,"H",1.22,5.75,13
"187",187,"SPD",0.0618556701030928,0.230769230769231,0.4,1.36363636363636,0.425,0.288135593220339,0.392156862745098,0.74468085106383,0.590909090909091,"A",1.73,3.5,5
"192",192,"SPD",0.103092783505155,0.307692307692308,0.6,3.5,0.433333333333333,0.338983050847458,0.333333333333333,0.666666666666667,0.606060606060606,"A",1.36,4.75,8.5
"193",193,"SPD",0.237113402061856,0.230769230769231,0.666666666666667,0.4,0.516666666666667,0.406779661016949,0.372549019607843,0.730496453900709,0.409090909090909,"H",1.72,3.4,5
"194",194,"SPD",0.0927835051546392,0.307692307692308,0.4,2.66666666666667,0.566666666666667,0.355932203389831,0.529411764705882,0.631205673758865,0.590909090909091,"D",2.05,3.4,3.6
"202",202,"SPD",0.123711340206186,0.230769230769231,0.466666666666667,0.411764705882353,0.575,0.491525423728814,0.450980392156863,0.460992907801418,0.393939393939394,"D",2.5,3.25,2.8
