"","A","D","H","results","B365H","B365D","B365A"
"1",0.16,0.36,0.48,"D",2,3.25,3.25
"2",0,0,1,"H",1.44,4,7.5
"3",0.11,0.25,0.64,"A",1.66,3.4,5.5
"4",0.2,0.28,0.52,"D",2.1,3.2,3.5
"5",0.01,0.15,0.84,"H",2.1,3.2,3.5
"6",0.28,0.06,0.66,"H",2.62,3.2,2.6
"7",0.12,0.25,0.63,"H",2.2,3.2,3.25
"8",0.11,0.75,0.14,"D",2.1,3.25,3.4
"9",0.03,0.23,0.74,"D",1.72,3.5,4.75
"10",0.36,0.08,0.56,"A",2.4,3.2,2.87
"11",0.42,0.18,0.4,"D",2.4,3.2,2.87
"12",0.09,0.44,0.47,"D",2.15,3.2,3.3
"13",0.05,0.39,0.56,"D",2,3.2,3.75
"14",0.31,0.24,0.45,"H",6,3.8,1.53
"15",0.22,0.03,0.75,"H",2.3,3.2,3
"16",0.39,0.27,0.34,"A",2.25,3.2,3.1
"17",0.2,0.01,0.79,"H",2.3,3.1,3.1
"18",0.37,0.12,0.51,"A",5.5,3.6,1.61
"19",0.13,0.24,0.63,"D",1.83,3.25,4.5
"20",0.02,0.15,0.83,"H",2.3,3.1,3.1
"21",0.01,0.05,0.94,"H",1.3,4.75,10
"22",0,0.01,0.99,"H",1.4,4.33,7.5
"23",0.03,0.16,0.81,"D",1.72,3.5,4.75
"24",0.14,0.17,0.69,"H",2.37,3.2,2.87
"25",0.26,0.04,0.7,"H",2.25,3.2,3.1
"26",0.01,0.01,0.98,"H",1.33,4.5,9.5
"27",0.12,0.17,0.71,"D",2.2,3.1,3.4
"28",0.09,0.07,0.84,"H",2.1,3.25,3.4
"29",0.03,0.06,0.91,"H",1.72,3.4,5
"30",0.02,0.23,0.75,"D",1.66,3.4,5.5
"31",0.34,0.13,0.53,"A",3.8,3.4,1.9
"32",0.56,0.05,0.39,"D",2.4,3.2,2.87
"33",0.02,0.65,0.33,"D",2.6,3.2,2.6
"34",0.59,0.25,0.16,"D",3.2,3.25,2.2
"35",0.15,0.25,0.6,"A",2,3.25,3.25
"36",0.41,0.28,0.31,"H",3.25,3.2,2.2
"37",0.01,0.05,0.94,"H",1.83,3.3,4.33
"38",0.01,0.18,0.81,"H",1.7,3.5,5
"39",0.28,0.21,0.51,"D",2.3,3.1,3.1
"40",0.14,0.11,0.75,"H",2.3,3.1,3.1
"41",0.01,0.04,0.95,"H",2.05,3.25,3.6
"42",0,0,1,"H",1.72,3.25,4.33
"43",0.53,0.06,0.41,"A",2.3,3.1,3.1
"44",0.07,0.25,0.68,"A",1.95,3.3,3.8
"45",0.05,0.08,0.87,"H",2.1,3.2,3.2
