"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"1",1,"SPD",0.103092783505155,0.384615384615385,0.4,0.8125,0.4,0.355932203389831,0.372549019607843,0.808510638297872,0.363636363636364,"D",2,3.25,3.25
"4",4,"SPD",0.268041237113402,0.192307692307692,0.333333333333333,5,0.416666666666667,0.372881355932203,0.431372549019608,0.475177304964539,0.46969696969697,"H",1.44,4,7.5
"5",5,"SPD",0.144329896907216,0.346153846153846,0.333333333333333,1.05555555555556,0.441666666666667,0.372881355932203,0.509803921568628,0.709219858156028,0.363636363636364,"A",1.66,3.4,5.5
"6",6,"SPD",0.329896907216495,0.153846153846154,0.4,1.33333333333333,0.625,0.338983050847458,0.607843137254902,0.588652482269504,0.409090909090909,"D",2.1,3.2,3.5
"8",8,"SPD",0.278350515463918,0.192307692307692,0.533333333333333,0.882352941176471,0.383333333333333,0.271186440677966,0.490196078431373,0.702127659574468,0.636363636363636,"H",2.1,3.2,3.5
"10",10,"SPD",0.412371134020619,0.192307692307692,0.333333333333333,0.714285714285714,0.708333333333333,0.457627118644068,0.568627450980392,0.638297872340426,0.545454545454545,"H",2.62,3.2,2.6
"11",11,"SPD",0.309278350515464,0.115384615384615,0.266666666666667,1.18181818181818,0.558333333333333,0.23728813559322,0.568627450980392,0.680851063829787,0.409090909090909,"H",2.2,3.2,3.25
"12",12,"SPD",0.0618556701030928,0.153846153846154,0.0666666666666667,1.17647058823529,0.608333333333333,0.220338983050847,0.333333333333333,0.553191489361702,0.363636363636364,"D",2.1,3.25,3.4
"14",14,"SPD",0.45360824742268,0.153846153846154,0.4,3,0.6,0.423728813559322,0.588235294117647,0.787234042553192,0.818181818181818,"D",1.72,3.5,4.75
"15",15,"SPD",0.34020618556701,0.153846153846154,0.266666666666667,0.8,0.658333333333333,0.406779661016949,0.607843137254902,0.517730496453901,0.348484848484849,"A",2.4,3.2,2.87
"17",17,"SPD",0.43298969072165,0.269230769230769,0.666666666666667,0.384615384615385,0.625,0.440677966101695,0.549019607843137,0.631205673758865,0.393939393939394,"D",2.4,3.2,2.87
